Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
India,1,Jammu And Kashmir,2014,RAW COAL,PULP & PAPER,8000
India,1,Jammu And Kashmir,2014,RAW COAL,CEMENT,15000
India,1,Jammu And Kashmir,2015,RAW COAL,OTHER,12000
India,1,Jammu And Kashmir,2020,RAW COAL,CEMENT,7848.104323
India,1,Jammu And Kashmir,2019,RAW COAL,OTHER,24000
India,2,Himachal Pradesh,2012,RAW COAL,OTHER,2000
India,2,Himachal Pradesh,2011,RAW COAL,OTHER,34000
India,2,Himachal Pradesh,2013,RAW COAL,POWER (CAPTIVE),68000
India,2,Himachal Pradesh,2018,RAW COAL,CEMENT,26000
India,2,Himachal Pradesh,2014,RAW COAL,CEMENT,281000
India,3,Punjab,2011,RAW COAL,OTHER,240000
India,2,Himachal Pradesh,2019,RAW COAL,CEMENT,22000
India,3,Punjab,2013,RAW COAL,FERTILISERS,948000
India,2,Himachal Pradesh,2020,RAW COAL,OTHER,4000
India,3,Punjab,2017,WASHED COAL,POWER (UTILITY),12000
India,3,Punjab,2014,RAW COAL,FERTILISERS,693000
India,3,Punjab,2018,RAW COAL,FERTILISERS,522000
India,3,Punjab,2015,RAW COAL,POWER (CAPTIVE),7206000
India,3,Punjab,2019,LIGNITE,POWER (UTILITY),58000
India,3,Punjab,2015,RAW COAL,POWER (UTILITY),10209000
India,3,Punjab,2019,LIGNITE,TEXTILES & RAYONS,57000
India,3,Punjab,2018,RAW COAL,OTHER,40000
India,5,Uttarakhand,2013,RAW COAL,OTHER,293000
India,3,Punjab,2019,LIGNITE,OTHER,711000
India,6,Haryana,2013,RAW COAL,POWER (UTILITY),15633000
India,3,Punjab,2019,LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),186000
India,6,Haryana,2014,WASHED COAL,POWER (UTILITY),79000
India,3,Punjab,2019,RAW COAL,FERTILISERS,557000
India,6,Haryana,2015,MIDDLINGS,POWER (UTILITY),204000
India,5,Uttarakhand,2016,RAW COAL,OTHER,76000
India,6,Haryana,2015,RAW COAL,POWER (UTILITY),13944000
India,5,Uttarakhand,2019,RAW COAL,OTHER,3042000
India,6,Haryana,2020,MIDDLINGS,POWER (CAPTIVE),6000
India,6,Haryana,2011,RAW COAL,FERTILISERS,622000
India,7,Delhi,2013,RAW COAL,POWER (UTILITY),3660000
India,6,Haryana,2012,RAW COAL,OTHER,47000
India,7,Delhi,2014,RAW COAL,CEMENT,15000
India,6,Haryana,2013,RAW COAL,FERTILISERS,508000
India,7,Delhi,2016,RAW COAL,PULP & PAPER,29000
India,6,Haryana,2013,RAW COAL,OTHER,62000
India,7,Delhi,2018,MIDDLINGS,POWER (UTILITY),39000
India,6,Haryana,2016,MIDDLINGS,POWER (UTILITY),175000
India,7,Delhi,2019,MIDDLINGS,POWER (UTILITY),55000
India,6,Haryana,2016,RAW COAL,OTHER,45000
India,7,Delhi,2019,RAW COAL,OTHER,1000
India,6,Haryana,2016,RAW COAL,POWER (UTILITY),13311000
India,7,Delhi,2019,WASHED COAL,POWER (UTILITY),330000
India,6,Haryana,2017,RAW COAL,OTHER,251000
India,8,Rajasthan,2012,RAW COAL,POWER (CAPTIVE),1956000
India,6,Haryana,2017,WASHED COAL,POWER (UTILITY),528000
